last_name,fisa_courts_reform_act,s_1551_iosra,fisa_improvements_act,fisa_transparency_and_modernization_act,surveillance_state_repeal_act,usa_freedom_prior_to_2014-05-18,voted_for_conyers_amash_amendment,voted_for_house_version_of_usa_freedom_act_2014,voted_for_massie_lofgren_amendment_2014,whistleblower_protection_for_ic_employees_contractors,1st_usaf_cloture_vote,straight_reauth,fisa_reform_act,amendment_1449_data_retention,amendment_1450_extend_implementation_to_1yr,amendment_1451_gut_amicus,final_passage_usaf,702_reforms,massie_lofgren_amendment_to_hr2685_defund_702,massie_lofgren_amendment_to_hr4870_no_backdoors
Leahy,,X,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Lee,,,,,X,X,X,,X,,,,,,,,GOOD,X,BAD,GOOD
Lee,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Levin,,,,,,,,X,,,,,,,,,OK,,GOOD,BAD
Lewis,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Lieu,,,,,,,,,,,,,,,,,GOOD,,GOOD,
Lipinski,,,,,,,,X,,,,,,,,,OK,,BAD,
LoBiondo,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
Loebsack,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Lofgren,,,,,,X,X,,X,,,,,,,,OK,X,GOOD,GOOD
Long,,,,,,X,,X,,,,,,,,,OK,,BAD,BAD
Loudermilk,,,,,,,,,,,,,,,,,OK,,GOOD,
Love,,,,,,,,,,,,,,,,,OK,,GOOD,
Lowenthal,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Lowey,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Lucas,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Luetkemeyer,,,,,,X,,X,X,,,,,,,,OK,,BAD,GOOD
Luján,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,
Lujan Grisham,,,,,,,X,X,,,,,,,,,OK,,GOOD,GOOD
Lummis,,,,,,,X,,X,,,,,,,,GOOD,X,BAD,GOOD
Lynch,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
MacArthur,,,,,,,,,,,,,,,,,OK,,BAD,
Maloney,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Maloney,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Manchin,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Marchant,,,,,,X,X,,X,,,,,,,,OK,X,BAD,GOOD
Marino,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Markey,X,X,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Massie,,,,,X,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Matsui,,,,,,X,X,,X,,,,,,,,OK,,GOOD,GOOD
McCain,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
McCarthy,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
McCaskill,,,,,,,,,,X,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
McCaul,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
McClintock,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
McCollum,,,,,X,X,X,,X,,,,,,,,OK,X,GOOD,GOOD
McConnell,,,,,,,,,,,BAD,GOOD,,BAD,BAD,BAD,BAD,,,
